"","Ajustado"
"Mar 2012",7.2882928649127
"Apr 2012",7.20959785983502
"May 2012",7.28652247605061
"Jun 2012",7.35707348289391
"Jul 2012",7.28161929652247
"Aug 2012",7.28245579333528
"Sep 2012",7.24347303958609
"Oct 2012",7.24396145332005
"Nov 2012",7.28839282983773
"Dec 2012",7.49667969490881
"Jan 2013",7.48194532487173
"Feb 2013",7.53998587285725
"Mar 2013",7.3882928649127
"Apr 2013",7.30959785983502
"May 2013",7.28652247605061
"Jun 2013",7.25707348289391
"Jul 2013",7.18161929652246
"Aug 2013",7.08245579333528
"Sep 2013",7.04347303958609
"Oct 2013",7.04396145332005
"Nov 2013",6.98839282983773
"Dec 2013",6.79667969490881
"Jan 2014",6.68194532487173
"Feb 2014",6.53998587285725
"Mar 2014",6.5882928649127
"Apr 2014",6.60959785983502
"May 2014",6.68652247605061
"Jun 2014",6.65707348289391
"Jul 2014",6.78161929652247
"Aug 2014",6.88245579333528
"Sep 2014",6.94347303958609
"Oct 2014",6.94396145332005
"Nov 2014",6.98839282983773
"Dec 2014",7.09667969490881
"Jan 2015",7.08194532487173
"Feb 2015",7.23998587285725
"Mar 2015",7.2882928649127
"Apr 2015",7.50959785983502
"May 2015",7.78652247605061
"Jun 2015",8.15707348289391
"Jul 2015",8.38161929652247
"Aug 2015",8.68245579333528
"Sep 2015",9.04347303958609
"Oct 2015",9.24396145332005
"Nov 2015",9.48839282983774
"Dec 2015",9.49667969490881
"Jan 2016",9.78194532487172
"Feb 2016",10.0399858728573
"Mar 2016",10.2882928649127
"Apr 2016",10.709597859835
"May 2016",10.8865224760506
"Jun 2016",11.1570734828939
"Jul 2016",11.4816192965225
"Aug 2016",11.7824557933353
"Sep 2016",11.9434730395861
"Oct 2016",12.1439614533201
"Nov 2016",12.2883928298377
"Dec 2016",12.5966796949088
"Jan 2017",12.8819453248717
"Feb 2017",13.0399858728573
"Mar 2017",13.0882928649127
"Apr 2017",13.109597859835
"May 2017",12.9865224760506
"Jun 2017",12.8570734828939
"Jul 2017",12.6816192965225
"Aug 2017",12.5824557933353
"Sep 2017",12.5434730395861
"Oct 2017",12.5439614533201
"Nov 2017",12.4883928298377
"Dec 2017",12.3966796949088
"Jan 2018",12.4819453248717
"Feb 2018",12.4399858728573
"Mar 2018",12.4882928649127
"Apr 2018",12.409597859835
"May 2018",12.3865224760506
"Jun 2018",12.2570734828939
"Jul 2018",12.1816192965225
"Aug 2018",12.0824557933353
"Sep 2018",12.0434730395861
"Oct 2018",12.0439614533201
"Nov 2018",12.0883928298377
"Dec 2018",12.1966796949088
"Jan 2019",12.2819453248717
"Feb 2019",12.2399858728573
"Mar 2019",12.0882928649127
"Apr 2019",12.009597859835
"May 2019",11.9865224760506
"Jun 2019",11.8570734828939
