Data;VEX
12/12/2019;110,3112379
11/12/2019;110,3090215
10/12/2019;110,2651005
09/12/2019;110,2754335
06/12/2019;110,2457341
05/12/2019;110,2100149
04/12/2019;110,2905606
03/12/2019;110,1104299
02/12/2019;110,0782595
29/11/2019;110,0737286
28/11/2019;109,9187204
27/11/2019;109,9849015
26/11/2019;110,0556901
25/11/2019;109,9700178
22/11/2019;109,9559958
21/11/2019;110,0411503
20/11/2019;109,9640348
19/11/2019;109,9509039
18/11/2019;109,9152297
14/11/2019;109,9076743
13/11/2019;109,9069225
12/11/2019;109,835701
11/11/2019;109,8233296
08/11/2019;109,8286356
07/11/2019;109,803504
06/11/2019;109,7453495
05/11/2019;109,7234727
04/11/2019;109,6569398
01/11/2019;109,6024702
31/10/2019;109,5521247
30/10/2019;109,525339
29/10/2019;109,5200949
28/10/2019;109,5370574
25/10/2019;109,4494789
24/10/2019;109,4514479
23/10/2019;109,3319337
22/10/2019;109,268214
21/10/2019;109,1306579
18/10/2019;109,1555498
17/10/2019;109,1474617
16/10/2019;109,127343
15/10/2019;109,1251405
14/10/2019;109,1284446
11/10/2019;109,074217
10/10/2019;109,1135338
09/10/2019;109,0918241
08/10/2019;109,0660502
07/10/2019;109,0478839
04/10/2019;108,9497861
03/10/2019;108,8741359
02/10/2019;108,7265697
01/10/2019;108,7339325
30/09/2019;108,7642674
27/09/2019;108,7179877
26/09/2019;108,6936706
25/09/2019;108,5707647
24/09/2019;108,4730254
23/09/2019;108,568885
20/09/2019;108,4133096
19/09/2019;108,5247241
18/09/2019;108,5262712
17/09/2019;108,5614898
16/09/2019;108,5309775
13/09/2019;108,6526403
12/09/2019;108,5232356
11/09/2019;108,5571209
10/09/2019;108,5530096
09/09/2019;108,5941426
06/09/2019;108,4670835
05/09/2019;108,4070613
04/09/2019;108,4648119
03/09/2019;108,4966735
02/09/2019;108,4523065
30/08/2019;108,4307054
29/08/2019;108,4271502
28/08/2019;108,3874885
27/08/2019;108,3724686
26/08/2019;108,3279375
23/08/2019;108,2802176
22/08/2019;108,2298958
21/08/2019;108,1976101
20/08/2019;108,2028792
19/08/2019;108,1395619
16/08/2019;107,8913817
15/08/2019;107,8837287
14/08/2019;107,8364178
13/08/2019;107,8489595
12/08/2019;107,8800399
09/08/2019;107,908784
08/08/2019;107,913382
07/08/2019;107,8583949
06/08/2019;107,737521
05/08/2019;107,7178537
02/08/2019;107,6240537
01/08/2019;107,5422222
31/07/2019;107,5018203
30/07/2019;107,4648445
29/07/2019;107,3984037
26/07/2019;107,3830083
25/07/2019;107,326402
24/07/2019;107,2991572
23/07/2019;107,2485768
22/07/2019;107,2168804
19/07/2019;107,1880734
18/07/2019;107,1911015
17/07/2019;107,1633238
16/07/2019;107,1476843
15/07/2019;107,0844495
12/07/2019;107,046793
11/07/2019;107,032781
10/07/2019;106,9428681
09/07/2019;106,9170379
08/07/2019;106,899123
05/07/2019;106,8582662
04/07/2019;106,8576113
03/07/2019;106,8114237
02/07/2019;106,7770841
01/07/2019;106,6917373
28/06/2019;106,7219055
27/06/2019;106,6529838
26/06/2019;106,6104438
25/06/2019;106,5823208
24/06/2019;106,5209219
21/06/2019;106,6161043
19/06/2019;106,4062225
18/06/2019;106,3832447
17/06/2019;106,3890322
14/06/2019;106,2976483
13/06/2019;106,2430337
12/06/2019;106,2374282
11/06/2019;106,1238142
10/06/2019;106,0773402
07/06/2019;106,0098373
06/06/2019;106,0014191
05/06/2019;105,9518071
04/06/2019;105,8629919
03/06/2019;105,7986485
31/05/2019;105,7259948
30/05/2019;105,76738
29/05/2019;105,7674841
28/05/2019;105,7156936
27/05/2019;105,6524201
24/05/2019;105,5908833
23/05/2019;105,560871
22/05/2019;105,5397102
21/05/2019;105,5202041
20/05/2019;105,4786116
17/05/2019;105,4234248
16/05/2019;105,3573478
15/05/2019;105,3131715
14/05/2019;105,2661237
13/05/2019;105,2430384
10/05/2019;105,1820752
09/05/2019;105,1588294
08/05/2019;105,1056611
07/05/2019;105,0860657
06/05/2019;105,0570851
03/05/2019;105,0247474
02/05/2019;105,0019038
30/04/2019;104,9821333
29/04/2019;104,9698328
26/04/2019;104,8951606
25/04/2019;104,831078
24/04/2019;104,7812351
23/04/2019;104,6877242
22/04/2019;104,7519948
18/04/2019;104,7464844
17/04/2019;104,6528841
16/04/2019;104,6460298
15/04/2019;104,630064
12/04/2019;104,5990356
11/04/2019;104,5531095
10/04/2019;104,5333299
09/04/2019;104,5076777
08/04/2019;104,4264448
05/04/2019;104,4055792
04/04/2019;104,3965586
03/04/2019;104,3669408
02/04/2019;104,3380788
01/04/2019;104,2828106
29/03/2019;104,2415853
28/03/2019;104,2058748
27/03/2019;104,2204769
26/03/2019;104,0402187
25/03/2019;104,066579
22/03/2019;103,9015061
21/03/2019;103,8490064
20/03/2019;103,7891019
19/03/2019;103,8325856
18/03/2019;103,7607232
15/03/2019;103,740136
14/03/2019;103,6622596
13/03/2019;103,6688875
12/03/2019;103,6485504
11/03/2019;103,618894
08/03/2019;103,5591173
07/03/2019;103,5255919
06/03/2019;103,4800693
01/03/2019;103,4358775
28/02/2019;103,433434
27/02/2019;103,4020484
26/02/2019;103,3723248
25/02/2019;103,3151752
22/02/2019;103,3224288
21/02/2019;103,2762
20/02/2019;103,2361262
19/02/2019;103,1796218
18/02/2019;103,1214381
15/02/2019;103,095299
14/02/2019;103,0209315
13/02/2019;102,9787397
12/02/2019;102,9510417
11/02/2019;102,8161344
08/02/2019;102,7750016
07/02/2019;102,7315006
06/02/2019;102,6474767
05/02/2019;102,583221
04/02/2019;102,4803613
01/02/2019;102,409573
31/01/2019;102,3624171
30/01/2019;102,160859
29/01/2019;102,0999612
28/01/2019;101,9160957
25/01/2019;101,8166268
24/01/2019;101,7995368
23/01/2019;101,7815987
22/01/2019;101,7255883
21/01/2019;101,6851731
18/01/2019;101,6682918
17/01/2019;101,5304381
16/01/2019;101,4975972
15/01/2019;101,4881124
14/01/2019;101,466214
11/01/2019;101,4519734
10/01/2019;101,4150968
09/01/2019;101,281519
08/01/2019;101,2431958
07/01/2019;101,2000339
04/01/2019;101,1545718
03/01/2019;101,1087581
02/01/2019;100,9713003
31/12/2018;100,9217505
28/12/2018;100,9045794
27/12/2018;100,8495025
26/12/2018;100,8138941
24/12/2018;100,7913101
21/12/2018;100,7767605
20/12/2018;100,7537992
19/12/2018;100,6417245
18/12/2018;100,5889055
17/12/2018;100,571528
14/12/2018;100,5440348
13/12/2018;100,5149074
12/12/2018;100,4988753
11/12/2018;100,4562136
10/12/2018;100,4379835
07/12/2018;100,4094258
06/12/2018;100,3848672
05/12/2018;100,4114112
04/12/2018;100,2318701
03/12/2018;100,2050571
30/11/2018;100,1740257
29/11/2018;100,1311607
28/11/2018;100,0904047
27/11/2018;100,069731
26/11/2018;100,0332594
23/11/2018;100,0191973
22/11/2018;100
